"DFC","CONTA","SUBCONTA"
"Custo","Fornecedores Revenda","Fornecedor Revenda"
"Custo","Fornecedores Revenda","Fornecedor Revenda"
"Custo","Fornecedores Revenda","Fornecedor Revenda"
"Custo","Fornecedores Revenda","Fornecedor Revenda"
"Custo","Fornecedores Revenda","Fornecedor Revenda"
"Custo","Fornecedores Revenda","Fornecedor Revenda"
"Custo","Fornecedores Revenda","Fornecedor Revenda"
"Custo","Fornecedores Revenda","Fornecedor Revenda"
"Custo","Fornecedores Revenda","Fornecedor Revenda"
"Custo","Fornecedores Revenda","Fornecedor Revenda"
"Custo","Fornecedores Revenda","Fornecedor Revenda"
"Custo","Fornecedores Revenda","Fornecedor Revenda"
"Despesa","Aluguel/ Condominio/ Iptu","Aluguel"
"Despesa","Aluguel/ Condominio/ Iptu","Aluguel"
"Despesa","Aluguel/ Condominio/ Iptu","Aluguel"
"Despesa","Aluguel/ Condominio/ Iptu","Aluguel"
"Despesa","Aluguel/ Condominio/ Iptu","Aluguel"
"Despesa","Aluguel/ Condominio/ Iptu","Aluguel"
"Despesa","Aluguel/ Condominio/ Iptu","Aluguel"
"Despesa","Aluguel/ Condominio/ Iptu","Aluguel"
"Despesa","Aluguel/ Condominio/ Iptu","Aluguel"
"Despesa","Aluguel/ Condominio/ Iptu","Aluguel"
"Despesa","Aluguel/ Condominio/ Iptu","Aluguel"
"Despesa","Aluguel/ Condominio/ Iptu","Aluguel"
"Despesa","Despesas Comerciais","Transporte Consultoras"
"Despesa","Despesas Comerciais","Transporte Consultoras"
"Despesa","Despesas Comerciais","Transporte Consultoras"
"Despesa","Despesas Comerciais","Transporte Consultoras"
"Despesa","Despesas Comerciais","Transporte Consultoras"
"Despesa","Despesas Comerciais","Transporte Consultoras"
"Despesa","Despesas Comerciais","Transporte Consultoras"
"Despesa","Despesas Comerciais","Transporte Consultoras"
"Despesa","Despesas Comerciais","Transporte Consultoras"
"Despesa","Despesas Comerciais","Transporte Consultoras"
"Despesa","Despesas Comerciais","Transporte Consultoras"
"Despesa","Despesas Comerciais","Transporte Consultoras"
"Despesa","Despesas com Pessoal/ RH","Free Lance"
"Despesa","Despesas com Pessoal/ RH","Free Lance"
"Despesa","Despesas com Pessoal/ RH","Free Lance"
"Despesa","Despesas com Pessoal/ RH","Free Lance"
"Despesa","Despesas com Pessoal/ RH","Free Lance"
"Despesa","Despesas com Pessoal/ RH","Free Lance"
"Despesa","Despesas com Pessoal/ RH","Free Lance"
"Despesa","Despesas com Pessoal/ RH","Free Lance"
"Despesa","Despesas com Pessoal/ RH","Free Lance"
"Despesa","Despesas com Pessoal/ RH","Free Lance"
"Despesa","Despesas com Pessoal/ RH","Free Lance"
"Despesa","Despesas com Pessoal/ RH","Free Lance"
"Despesa","Despesas Comerciais","Material Campanha Comercial"
"Despesa","Despesas Comerciais","Material Campanha Comercial"
"Despesa","Despesas Comerciais","Material Campanha Comercial"
"Despesa","Despesas Comerciais","Material Campanha Comercial"
"Despesa","Despesas Comerciais","Material Campanha Comercial"
"Despesa","Despesas Comerciais","Material Campanha Comercial"
"Despesa","Despesas Comerciais","Material Campanha Comercial"
"Despesa","Despesas Comerciais","Material Campanha Comercial"
"Despesa","Despesas Comerciais","Material Campanha Comercial"
"Despesa","Despesas Comerciais","Material Campanha Comercial"
"Despesa","Despesas Comerciais","Material Campanha Comercial"
